statefips,countyfips,countyns10,fips,name,namelsad10,boundingbox,corner_sw,corner_nw,corner_ne,corner_se,corner_wtf,extentn,extents,extente,extentw,pop_10
6,37,277283,6037,Los Angeles,Los Angeles County,"POLYGON((-118.951721 32.75004,-118.951721 34.823302,-117.646374 34.823302,-117.646374 32.75004,-118.951721 32.75004))","32.75004,-118.951721","34.823302,-118.951721","34.823302,-117.646374","32.75004,-117.646374","32.75004,-118.951721",34.823303,32.750038,-117.64638,-118.95172,9818605
17,31,1784766,17031,Cook,Cook County,"POLYGON((-88.263507 41.469524,-88.263507 42.154292,-87.111162 42.154292,-87.111162 41.469524,-88.263507 41.469524))","41.469524,-88.263507","42.154292,-88.263507","42.154292,-87.111162","41.469524,-87.111162","41.469524,-88.263507",42.154293,41.469524,-87.11116,-88.263504,5194675
48,201,1383886,48201,Harris,Harris County,"POLYGON((-95.960733 29.497339,-95.960733 30.170606,-94.908492 30.170606,-94.908492 29.497339,-95.960733 29.497339))","29.497339,-95.960733","30.170606,-95.960733","30.170606,-94.908492","29.497339,-94.908492","29.497339,-95.960733",30.170607,29.497339,-94.908493,-95.960732,4092459
4,13,37026,4013,Maricopa,Maricopa County,"POLYGON((-113.334436 32.504938,-113.334436 34.04817,-111.039905 34.04817,-111.039905 32.504938,-113.334436 32.504938))","32.504938,-113.334436","34.04817,-113.334436","34.04817,-111.039905","32.504938,-111.039905","32.504938,-113.334436",34.048168,32.504936,-111.0399,-113.33443,3817117
6,73,277301,6073,San Diego,San Diego County,"POLYGON((-117.611081 32.528832,-117.611081 33.505025,-116.08094 33.505025,-116.08094 32.528832,-117.611081 32.528832))","32.528832,-117.611081","33.505025,-117.611081","33.505025,-116.08094","32.528832,-116.08094","32.528832,-117.611081",33.505024,32.528831,-116.08094,-117.61108,3095313
6,59,277294,6059,Orange,Orange County,"POLYGON((-118.1259 33.333992,-118.1259 33.947514,-117.412987 33.947514,-117.412987 33.333992,-118.1259 33.333992))","33.333992,-118.1259","33.947514,-118.1259","33.947514,-117.412987","33.333992,-117.412987","33.333992,-118.1259",33.947514,33.333992,-117.41299,-118.1259,3010232
36,47,974122,36047,Kings,Kings County,"POLYGON((-74.05663 40.551042,-74.05663 40.739446,-73.833365 40.739446,-73.833365 40.551042,-74.05663 40.551042))","40.551042,-74.05663","40.739446,-74.05663","40.739446,-73.833365","40.551042,-73.833365","40.551042,-74.05663",40.739445,40.551041,-73.833366,-74.056633,2504700
12,86,295755,12086,Miami-Dade,Miami-Dade County,"POLYGON((-80.8736 25.13742,-80.8736 25.979434,-80.042754 25.979434,-80.042754 25.13742,-80.8736 25.13742))","25.13742,-80.8736","25.979434,-80.8736","25.979434,-80.042754","25.13742,-80.042754","25.13742,-80.8736",25.979433,25.137421,-80.042755,-80.873596,2496435
48,113,1383842,48113,Dallas,Dallas County,"POLYGON((-97.038385 32.545214,-97.038385 32.989328,-96.516866 32.989328,-96.516866 32.545214,-97.038385 32.545214))","32.545214,-97.038385","32.989328,-97.038385","32.989328,-96.516866","32.545214,-96.516866","32.545214,-97.038385",32.989326,32.545216,-96.516869,-97.038383,2368139
36,81,974139,36081,Queens,Queens County,"POLYGON((-74.042112 40.489794,-74.042112 40.812242,-73.700272 40.812242,-73.700272 40.489794,-74.042112 40.489794))","40.489794,-74.042112","40.812242,-74.042112","40.812242,-73.700272","40.489794,-73.700272","40.489794,-74.042112",40.812241,40.489796,-73.700272,-74.042114,2230722
6,65,277297,6065,Riverside,Riverside County,"POLYGON((-117.676286 33.425888,-117.676286 34.079884,-114.434949 34.079884,-114.434949 33.425888,-117.676286 33.425888))","33.425888,-117.676286","34.079884,-117.676286","34.079884,-114.434949","33.425888,-114.434949","33.425888,-117.676286",34.079884,33.425888,-114.43495,-117.67628,2189641
6,71,277300,6071,San Bernardino,San Bernardino County,"POLYGON((-117.802539 33.870831,-117.802539 35.809236,-114.131211 35.809236,-114.131211 33.870831,-117.802539 33.870831))","33.870831,-117.802539","35.809236,-117.802539","35.809236,-114.131211","33.870831,-114.131211","33.870831,-117.802539",35.809235,33.870831,-114.13121,-117.80254,2035210
32,3,863600,32003,Clark,Clark County,"POLYGON((-115.896925 35.001857,-115.896925 36.853662,-114.042819 36.853662,-114.042819 35.001857,-115.896925 35.001857))","35.001857,-115.896925","36.853662,-115.896925","36.853662,-114.042819","35.001857,-114.042819","35.001857,-115.896925",36.853661,35.001858,-114.04282,-115.89693,1951269
53,33,1531933,53033,King,King County,"POLYGON((-122.541068 47.084457,-122.541068 47.780328,-121.065709 47.780328,-121.065709 47.084457,-122.541068 47.084457))","47.084457,-122.541068","47.780328,-122.541068","47.780328,-121.065709","47.084457,-121.065709","47.084457,-122.541068",47.780327,47.084457,-121.06571,-122.54107,1931249
26,163,1623022,26163,Wayne,Wayne County,"POLYGON((-83.551907 42.02793,-83.551907 42.451713,-82.749908 42.451713,-82.749908 42.02793,-83.551907 42.02793))","42.02793,-83.551907","42.451713,-83.551907","42.451713,-82.749908","42.02793,-82.749908","42.02793,-83.551907",42.451714,42.027931,-82.749908,-83.55191,1820584
48,439,1384005,48439,Tarrant,Tarrant County,"POLYGON((-97.550582 32.548662,-97.550582 32.994194,-97.032287 32.994194,-97.032287 32.548662,-97.550582 32.548662))","32.548662,-97.550582","32.994194,-97.550582","32.994194,-97.032287","32.548662,-97.032287","32.548662,-97.550582",32.994194,32.54866,-97.032288,-97.550583,1809034
6,85,277307,6085,Santa Clara,Santa Clara County,"POLYGON((-122.202653 36.892976,-122.202653 37.484637,-121.208178 37.484637,-121.208178 36.892976,-122.202653 36.892976))","36.892976,-122.202653","37.484637,-122.202653","37.484637,-121.208178","36.892976,-121.208178","36.892976,-122.202653",37.484638,36.892975,-121.20818,-122.20265,1781642
12,11,295753,12011,Broward,Broward County,"POLYGON((-80.881233 25.95675,-80.881233 26.355547,-80.015276 26.355547,-80.015276 25.95675,-80.881233 25.95675))","25.95675,-80.881233","26.355547,-80.881233","26.355547,-80.015276","25.95675,-80.015276","25.95675,-80.881233",26.355547,25.956751,-80.015274,-80.881233,1748066
48,29,1383800,48029,Bexar,Bexar County,"POLYGON((-98.806552 29.114435,-98.806552 29.760713,-98.116902 29.760713,-98.116902 29.114435,-98.806552 29.114435))","29.114435,-98.806552","29.760713,-98.806552","29.760713,-98.116902","29.114435,-98.116902","29.114435,-98.806552",29.760714,29.114435,-98.116905,-98.806549,1714773
36,61,974129,36061,New York,New York County,"POLYGON((-74.047285 40.679548,-74.047285 40.882214,-73.907 40.882214,-73.907 40.679548,-74.047285 40.679548))","40.679548,-74.047285","40.882214,-74.047285","40.882214,-73.907","40.679548,-73.907","40.679548,-74.047285",40.882214,40.679546,-73.906998,-74.047287,1585873
42,101,1209187,42101,Philadelphia,Philadelphia County,"POLYGON((-75.280266 39.867004,-75.280266 40.137992,-74.955763 40.137992,-74.955763 39.867004,-75.280266 39.867004))","39.867004,-75.280266","40.137992,-75.280266","40.137992,-74.955763","39.867004,-74.955763","39.867004,-75.280266",40.137993,39.867004,-74.955765,-75.280266,1526006
6,1,1675839,6001,Alameda,Alameda County,"POLYGON((-122.373782 37.454389,-122.373782 37.905824,-121.469214 37.905824,-121.469214 37.454389,-122.373782 37.454389))","37.454389,-122.373782","37.905824,-122.373782","37.905824,-121.469214","37.454389,-121.469214","37.454389,-122.373782",37.905823,37.454388,-121.46922,-122.37378,1510271
25,17,606935,25017,Middlesex,Middlesex County,"POLYGON((-71.898716 42.156782,-71.898716 42.73667,-71.020377 42.73667,-71.020377 42.156782,-71.898716 42.156782))","42.156782,-71.898716","42.73667,-71.898716","42.73667,-71.020377","42.156782,-71.020377","42.156782,-71.898716",42.736671,42.15678,-71.020378,-71.89872,1503085
